zip_path,folder_path,train_file,link,target_col,note,duplicate
./csv_test/testtestbambooddd.zip,./csv_test_extracted/testtestbambooddd,train.csv,https://kaggle.com/competitions/testtestbambooddd,Exited,,
./csv_test/playground-series-s5e3.zip,./csv_test_extracted/playground-series-s5e3,train.csv,https://kaggle.com/competitions/playground-series-s5e3,rainfall,,
./csv_test/bcdatall.zip,./csv_test_extracted/bcdatall,train.csv,https://kaggle.com/competitions/bcdatall,target,,
./csv_test/playground-series-s3e14.zip,./csv_test_extracted/playground-series-s3e14,train.csv,https://kaggle.com/competitions/playground-series-s3e14,yield,,
./csv_test/ai-ninja-warrior-july-2023.zip,./csv_test_extracted/ai-ninja-warrior-july-2023,ecommerce_shopping_train.csv,https://kaggle.com/competitions/ai-ninja-warrior-july-2023,purchased,,
./csv_test/cat-in-the-dat-ii.zip,./csv_test_extracted/cat-in-the-dat-ii,train.csv,https://kaggle.com/competitions/cat-in-the-dat-ii,target,,
./csv_test/esa-eo4soilprotection-2024-predicting-erosion-cat.zip,./csv_test_extracted/esa-eo4soilprotection-2024-predicting-erosion-cat,train_erosion.csv,https://kaggle.com/competitions/esa-eo4soilprotection-2024-predicting-erosion-cat,Code,,
./csv_test/egg-sales-predict-challenge-23sl.zip,./csv_test_extracted/egg-sales-predict-challenge-23sl,train_egg_sales.csv,https://kaggle.com/competitions/egg-sales-predict-challenge-23sl,Egg Sales,,
./csv_test/gvu-spring-2024-kaggle-competition-1.zip,./csv_test_extracted/gvu-spring-2024-kaggle-competition-1,train.csv,https://kaggle.com/competitions/gvu-spring-2024-kaggle-competition-1,rating,,
./csv_test/cro-ds-test-condominium-price-prediction-th.zip,./csv_test_extracted/cro-ds-test-condominium-price-prediction-th,train.csv,https://kaggle.com/competitions/cro-ds-test-condominium-price-prediction-th,target,,
./csv_test/playground-series-s3e5.zip,./csv_test_extracted/playground-series-s3e5,train.csv,https://kaggle.com/competitions/playground-series-s3e5,quality,,
./csv_test/ds-competition-ai-club.zip,./csv_test_extracted/ds-competition-ai-club,train.csv,https://kaggle.com/competitions/ds-competition-ai-club,Target,,
./csv_test/predict-customer-churn-a-binary-classification-ch.zip,./csv_test_extracted/predict-customer-churn-a-binary-classification-ch,train.csv,https://kaggle.com/competitions/predict-customer-churn-a-binary-classification-ch,Exited,,
./csv_test/playground-series-s3e9.zip,./csv_test_extracted/playground-series-s3e9,train.csv,https://kaggle.com/competitions/playground-series-s3e9,Strength,,
./csv_test/2023-psl-week-using-bloomberg-news.zip,./csv_test_extracted/2023-psl-week-using-bloomberg-news,train.csv,https://kaggle.com/competitions/2023-psl-week-using-bloomberg-news,y,,
./csv_test/gvu-spring-2024-project-2.zip,./csv_test_extracted/gvu-spring-2024-project-2,train.csv,https://kaggle.com/competitions/gvu-spring-2024-project-2,"Concrete compressive strength(MPa, megapascals)",,
./csv_test/credit-card-fraud-prediction.zip,./csv_test_extracted/credit-card-fraud-prediction,train.csv,https://kaggle.com/competitions/credit-card-fraud-prediction,IsFraud,,
